,name,builtdate
0,潍坊四村,1982年建
1,德州二村,1985年建
2,东陆新村九街坊,1996年建
3,曙光苑,2001年建
4,西镇小区（浦东）,1991年建
5,潼港五村,1996年建
6,浦东世纪花园（公寓）,2005年建
7,阳光花城,2009年建
8,永泰花苑,2004年建
9,巨东小区,1994年建
10,品珍苑,2000年建
11,新川路742弄,1994年建
12,高桥二村,1981年建
13,永达城市公寓,2008年建
14,龙昌苑,2000年建
15,学前二村,1990年建
16,牡丹路186弄,1995年建
17,新世纪花苑（浦东）,1996年建
18,潍坊一村,1985年建
19,东昌大楼,1999年建
20,东力新村,2003年建
21,妙城公寓,2000年建
22,珠江玫瑰花园（公寓）,1996年建
23,东明新村,1986年建
24,高南新村,1995年建
25,泰祥楼,1999年建
26,地杰国际城,2009年建
27,港机新村,1981年建
28,联洋年华,2004年建
29,新花苑,1995年建
30,德西大楼,1993年建
31,由由七村,1995年建
32,中大苑,1997年建
33,东方知音苑,2003年建
35,绿洲康城亲水湾,2010年建
36,双桥小区,1997年建
37,中星海上景庭,2005年建
38,汤臣豪园（一期）,2002年建
39,济阳三村,1988年建
40,恒大小区,1996年建
41,东二小区,1996年建
42,锦绣河山,1997年建
44,东园三村,1996年建
45,张杨花苑,2000年建
47,港城新苑,2008年建
48,海桐小区,1999年建
49,东荷小区,1997年建
50,新领地,2002年建
51,凌兆路608弄,1996年建
52,金谊河畔,2008年建
53,东南新村（浦东）,1980年建
54,黄山始信苑,1999年建
55,芳华路268弄,1996年建
56,博三小区,1994年建
57,碧云新天地（一期）,2002年建
58,杉林新月（环林东路799弄）,2004年建
59,盛源公寓,2003年建
60,浦东南路2370弄,1982年建
61,东靖苑,2003年建
63,临沂六村,1989年建
64,阳明花园广场,1997年建
65,临沂一村,1986年建
66,金桥新村一街坊,1995年建
67,东陆新村二街坊,1995年建
68,临沂三村,1987年建
69,东沟一村,1991年建
70,牡丹小区（浦东）,1993年建
73,东方城市绿洲,2010年建
74,舒馨北苑,2007年建
76,上南九村,1993年建
77,蓝高小区,1992年建
78,新芳邻,2002年建
79,荷一小区,1996年建
80,六街坊小区,2000年建
81,南江苑,2000年建
82,金杨新村三街坊,1995年建
83,伟业金锦苑三村,2003年建
84,证大家园（公寓）,2002年建
85,由由一村,1996年建
89,建中路126弄,1995年建
90,潍坊八村,1985年建
91,德州五村,1985年建
92,绿地泾南公寓,2002年建
93,华高一村,1994年建
94,由由民丰苑,2002年建
95,西邱小区,1996年建
96,品华苑,2000年建
97,东沟二村,1993年建
98,东源名都,2007年建
99,万邦都市花园,2003年建
100,张江汤臣豪园（三期）,2010年建
101,南杨小区（长清路）,1995年建
102,学前一村,1987年建
104,海关大楼,1994年建
106,金杨新村五街坊,1994年建
107,梅园五街坊,1991年建
108,浦发绿城,2004年建
109,富特四村,1993年建
110,上南十二村,1994年建
111,香楠小区,2001年建
112,昌五小区,1994年建
114,联鑫坊,2001年建
116,翠竹苑,1997年建
117,上南六村,1986年建
119,华丽家族花园,2002年建
120,竹园高层,1994年建
121,凌云公寓,1999年建
122,东陆新村六街坊,1995年建
123,陆家嘴中央公寓,2006年建
124,四季全景台,2005年建
126,菊园,2001年建
127,广兰名苑,2004年建
128,阳光二村,1981年建
131,凌兆新村（凌兆路530弄）,1994年建
132,上南十一村,1992年建
133,上南五村,1984年建
134,上南七村,1995年建
135,博山小区,1988年建
136,丽都成品,2005年建
137,黄山新村,1995年建
138,潍坊十村,1986年建
139,浦发博园（公寓）,2009年建
140,建业新村,1998年建
142,海宏大厦,1997年建
143,汇豪天下,2004年建
144,古银杏苑,1999年建
147,弘扬沁园,2002年建
148,杉林新月（环林东路879弄）,2004年建
149,牡丹苑（浦东）,1999年建
150,香山新村东北街坊,1997年建
152,岭南苑（凌兆路127弄）,2003年建
154,天池一村,1994年建
155,花木鑫丰苑,2003年建
156,上海绿城,2007年建
158,樱花路89弄,2006年建
159,浦发博园（别墅）,2009年建
160,寿一小区,1988年建
161,金杨一街坊,1995年建
163,金杨二街坊,1995年建
164,世茂滨江花园,2006年建
165,南杨花园,1996年建
166,齐七小区,1997年建
167,益丰新村,2005年建
168,中虹家园,2011年建
169,星颂家园,2011年建
171,汇智湖畔家园,2013年建
174,云台一小区,1994年建
175,浦江东旭公寓,2009年建
178,凌兆新村（凌兆路379弄）,1996年建
180,妙栏小区,1994年建
181,仁恒滨江园,2003年建
183,毕加索小镇（一期）（公寓）,2010年建
185,宜嘉苑,2003年建
189,德州六村,1988年建
190,张杨路370弄,1985年建
191,城西小区,1988年建
192,金领国际（公寓）,2009年建
193,思凡花苑二街坊,1997年建
194,金台三居,1991年建
195,金星小区,1994年建
196,绿城上海御园,2015年建
197,林梅小区,1995年建
198,金桥新村四街坊（博兴路986弄）,1997年建
199,微山二村,1984年建
200,罗山六村,1990年建
201,尚东国际名园,2007年建
202,广洋苑,2002年建
203,潼港八村,1994年建
204,潍坊五村,1984年建
205,民康苑,2008年建
206,恒乐苑,2002年建
207,金杨新村九街坊,1993年建
208,大华锦绣华城（一街区）,2008年建
211,临沂大楼,1997年建
212,新高苑（一至三期）,2006年建
213,临沂七村,1992年建
214,绿地康桥新苑,2004年建
216,华夏小区,1994年建
217,新城名园,2005年建
218,江东路1400弄,
