,name,location,hospital,bus,mall,subway,school,officeBuild,to_center_distance
0,潍坊四村,"{'lat': 31.224104, 'lng': 121.53081}",17.0,43.0,3.0,4.0,52.0,93.0,4884.18582985635
1,德州二村,"{'lat': 31.174549, 'lng': 121.498199}",30.0,34.0,1.0,3.0,53.0,7.0,6947.432725602932
2,东陆新村九街坊,"{'lat': 31.281467, 'lng': 121.608138}",9.0,32.0,3.0,1.0,26.0,4.0,13117.832584299833
3,曙光苑,"{'lat': 31.30697, 'lng': 121.335266}",3.0,16.0,1.0,2.0,4.0,6.0,15991.082772784279
4,西镇小区（浦东）,"{'lat': 31.248125, 'lng': 121.556307}",23.0,43.0,1.0,2.0,41.0,25.0,7287.113469819817
5,潼港五村,"{'lat': 31.34874, 'lng': 121.579958}",17.0,26.0,7.0,0.0,22.0,11.0,15725.005633906172
6,浦东世纪花园（公寓）,"{'lat': 31.220575, 'lng': 121.547495}",4.0,35.0,6.0,3.0,13.0,41.0,6518.414497096432
7,阳光花城,"{'lat': 31.214297, 'lng': 121.629835}",5.0,38.0,0.0,1.0,13.0,17.0,14330.679246443406
8,永泰花苑,"{'lat': 31.14362, 'lng': 121.523825}",1.0,22.0,2.0,3.0,15.0,11.0,10973.324896997554
9,巨东小区,"{'lat': 31.242368, 'lng': 121.556999}",18.0,48.0,1.0,3.0,38.0,17.0,7254.924900917394
10,品珍苑,"{'lat': 31.147294, 'lng': 121.529689}",7.0,36.0,2.0,2.0,15.0,7.0,10820.876709486056
11,新川路742弄,"{'lat': 31.197214, 'lng': 121.698275}",8.0,46.0,4.0,1.0,32.0,17.0,21078.547469174948
12,高桥二村,"{'lat': 31.351847, 'lng': 121.583263}",20.0,30.0,7.0,2.0,18.0,8.0,16189.622504191366
13,永达城市公寓,"{'lat': 31.194762, 'lng': 121.703625}",16.0,55.0,6.0,1.0,34.0,18.0,21632.611841726855
14,龙昌苑,"{'lat': 31.206981, 'lng': 121.552228}",7.0,43.0,0.0,2.0,21.0,6.0,7457.404302218132
15,学前二村,"{'lat': 31.352588, 'lng': 121.590493}",18.0,28.0,8.0,2.0,13.0,42.0,16674.821859211665
16,牡丹路186弄,"{'lat': 31.212315, 'lng': 121.552656}",5.0,36.0,0.0,1.0,20.0,8.0,7264.879716346462
17,新世纪花苑（浦东）,"{'lat': 31.180657, 'lng': 121.490158}",12.0,25.0,0.0,3.0,26.0,9.0,6136.376038595652
