"","name","room_type","size","region","loucheng","chaoxiang","price","unit_price","builtdate"
1,潍坊四村,1室0厅  ,41.9,浦东,低区/6层,朝南北,310,73985,1982年建
2,德州二村,1室1厅  ,38.12,浦东,高区/5层,,235,61647,1985年建
3,东陆新村九街坊,2室1厅  ,67.62,浦东,高区/6层,朝南,355,52499,1996年建
4,曙光苑,3室2厅  ,134.12,浦东,中区/7层,朝南北,530,39516,2001年建
5,西镇小区（浦东）,2室0厅  ,54.05,浦东,高区/6层,朝南,325,60129,1991年建
6,潼港五村,1室1厅  ,46.49,浦东,高区/6层,朝南,210,45171,1996年建
7,浦东世纪花园（公寓）,4室2厅  ,223.51,浦东,低区/30层,朝南北,1880,84112,2005年建
8,阳光花城,4室2厅  ,166.38,浦东,低区/18层,朝南北,998,59983,2009年建
9,永泰花苑,2室1厅  ,73.4,浦东,低区/11层,朝南北,420,57220,2004年建
10,巨东小区,1室1厅  ,47.2,浦东,低区/6层,朝东南,460,97457,1994年建
11,品珍苑,1室1厅  ,61.11,浦东,低区/6层,朝南,370,60546,2000年建
12,新川路742弄,2室1厅  ,73.68,浦东,高区/5层,朝南,285,38680,1994年建
13,高桥二村,1室0厅  ,32.49,浦东,低区/6层,朝南,155,47706,1981年建
14,永达城市公寓,2室2厅  ,95.48,浦东,低区/11层,朝南北,510,53414,2008年建
15,龙昌苑,3室2厅  ,114.95,浦东,高区/8层,朝南,805,70030,2000年建
16,学前二村,2室1厅  ,68.16,浦东,低区/6层,朝南,285,41813,1990年建
17,牡丹路186弄,3室1厅  ,91.32,浦东,低区/6层,朝南北,625,68440,1995年建
18,新世纪花苑（浦东）,2室1厅  ,77.45,浦东,中区/6层,朝南,520,67140,1996年建
19,潍坊一村,2室0厅  ,51.63,浦东,高区/6层,朝南北,330,63916,1985年建
20,东昌大楼,1室0厅  ,52.42,浦东,中区/16层,朝东南,350,66768,1999年建
21,东力新村,3室1厅  ,84.33,浦东,高区/6层,朝南,370,43875,2003年建
22,妙城公寓,3室2厅  ,138.82,浦东,中区/6层,朝南北,580,41780,2000年建
23,珠江玫瑰花园（公寓）,3室2厅  ,166.85,浦东,高区/24层,朝南,1200,71920,1996年建
24,东明新村,1室0厅  ,36.72,浦东,中区/6层,,300,81699,1986年建
25,高南新村,1室1厅  ,37.3,浦东,低区/6层,朝南,185,49597,1995年建
